Date,Open,Close,Return Close day vs Close previous day
"Feb 18, 2022","4,384.57","4,348.87",-0.72%
"Feb 17, 2022","4,456.06","4,380.26",-2.12%
"Feb 16, 2022","4,455.75","4,475.01",0.09%
"Feb 15, 2022","4,429.28","4,471.07",1.58%
"Feb 14, 2022","4,412.61","4,401.67",-0.38%
"Feb 11, 2022","4,506.27","4,418.64",-1.90%
"Feb 10, 2022","4,553.24","4,504.08",-1.81%
"Feb 09, 2022","4,547.00","4,587.18",1.45%
"Feb 08, 2022","4,480.02","4,521.54",0.84%
"Feb 07, 2022","4,505.75","4,483.87",-0.37%
"Feb 04, 2022","4,482.79","4,500.53",0.52%
"Feb 03, 2022","4,535.41","4,477.44",-2.44%
"Feb 02, 2022","4,566.39","4,589.38",0.94%
"Feb 01, 2022","4,519.57","4,546.54",0.69%
"Jan 31, 2022","4,431.79","4,515.55",1.89%
"Jan 28, 2022","4,336.19","4,431.85",2.43%
"Jan 27, 2022","4,380.58","4,326.51",-0.54%
"Jan 26, 2022","4,408.43","4,349.93",-0.15%
"Jan 25, 2022","4,366.64","4,356.45",-1.22%
"Jan 24, 2022","4,356.32","4,410.13",0.28%
"Jan 21, 2022","4,471.38","4,397.94",-1.89%
"Jan 20, 2022","4,547.35","4,482.73",-1.10%
"Jan 19, 2022","4,588.03","4,532.76",-0.97%
"Jan 18, 2022","4,632.24","4,577.11",-1.84%
"Jan 14, 2022","4,637.99","4,662.85",0.08%
"Jan 13, 2022","4,733.56","4,659.03",-1.42%
"Jan 12, 2022","4,728.59","4,726.35",0.28%
"Jan 11, 2022","4,669.14","4,713.07",0.92%
"Jan 10, 2022","4,655.34","4,670.29",-0.14%
"Jan 07, 2022","4,697.66","4,677.03",-0.41%
"Jan 06, 2022","4,693.39","4,696.05",-0.10%
"Jan 05, 2022","4,787.99","4,700.58",-1.94%
"Jan 04, 2022","4,804.51","4,793.54",-0.06%
"Jan 03, 2022","4,778.14","4,796.56",0.64%
"Dec 31, 2021","4,775.21","4,766.18",-0.26%
"Dec 30, 2021","4,794.23","4,778.73",-0.30%
"Dec 29, 2021","4,788.64","4,793.06",0.14%
"Dec 28, 2021","4,795.49","4,786.35",-0.10%
"Dec 27, 2021","4,733.99","4,791.19",1.38%
"Dec 23, 2021","4,703.96","4,725.79",0.62%
"Dec 22, 2021","4,650.36","4,696.56",1.02%
"Dec 21, 2021","4,594.96","4,649.23",1.78%
"Dec 20, 2021","4,587.90","4,568.02",-1.14%
"Dec 17, 2021","4,652.50","4,620.64",-1.03%
"Dec 16, 2021","4,719.13","4,668.67",-0.87%
"Dec 15, 2021","4,636.46","4,709.85",1.63%
"Dec 14, 2021","4,642.99","4,634.09",-0.75%
"Dec 13, 2021","4,710.30","4,668.97",-0.91%
"Dec 10, 2021","4,687.64","4,712.02",0.95%
"Dec 09, 2021","4,691.00","4,667.45",-0.72%
"Dec 08, 2021","4,690.86","4,701.21",0.31%
"Dec 07, 2021","4,631.97","4,686.75",2.07%
"Dec 06, 2021","4,548.37","4,591.67",1.17%
"Dec 03, 2021","4,589.49","4,538.43",-0.84%
"Dec 02, 2021","4,504.73","4,577.10",1.42%
"Dec 01, 2021","4,602.82","4,513.04",-1.18%
"Nov 30, 2021","4,640.25","4,567.00",-1.90%
"Nov 29, 2021","4,628.75","4,655.27",1.32%
"Nov 26, 2021","4,664.63","4,594.62",-2.27%
"Nov 24, 2021","4,675.78","4,701.46",0.23%
"Nov 23, 2021","4,678.48","4,690.70",0.17%
"Nov 22, 2021","4,712.00","4,682.94",-0.32%
"Nov 19, 2021","4,708.44","4,697.96",-0.14%
"Nov 18, 2021","4,700.72","4,704.54",0.34%
"Nov 17, 2021","4,701.50","4,688.67",-0.26%
"Nov 16, 2021","4,679.42","4,700.90",0.39%
"Nov 15, 2021","4,689.30","4,682.80",0.00%
"Nov 12, 2021","4,655.24","4,682.85",0.72%
"Nov 11, 2021","4,659.39","4,649.27",0.06%
"Nov 10, 2021","4,670.26","4,646.71",-0.82%
"Nov 09, 2021","4,707.25","4,685.25",-0.35%
"Nov 08, 2021","4,701.48","4,701.70",0.09%
"Nov 05, 2021","4,699.26","4,697.53",0.37%
"Nov 04, 2021","4,662.93","4,680.06",0.42%
"Nov 03, 2021","4,630.65","4,660.57",0.65%
"Nov 02, 2021","4,613.34","4,630.65",0.37%
"Nov 01, 2021","4,610.62","4,613.67",0.18%
"Oct 29, 2021","4,572.87","4,605.38",0.19%
"Oct 28, 2021","4,562.84","4,596.42",0.98%
"Oct 27, 2021","4,580.22","4,551.68",-0.51%
"Oct 26, 2021","4,578.69","4,574.79",0.18%
"Oct 25, 2021","4,553.69","4,566.48",0.47%
"Oct 22, 2021","4,546.12","4,544.90",-0.11%
"Oct 21, 2021","4,532.24","4,549.78",0.30%
"Oct 20, 2021","4,524.42","4,536.19",0.37%
"Oct 19, 2021","4,497.34","4,519.63",0.74%
"Oct 18, 2021","4,463.72","4,486.46",0.34%
"Oct 15, 2021","4,447.69","4,471.37",0.75%
"Oct 14, 2021","4,386.75","4,438.26",1.71%
"Oct 13, 2021","4,358.01","4,363.80",0.30%
"Oct 12, 2021","4,368.31","4,350.65",-0.24%
"Oct 11, 2021","4,385.44","4,361.19",-0.69%
"Oct 08, 2021","4,406.51","4,391.34",-0.19%
"Oct 07, 2021","4,383.73","4,399.76",0.83%
